Date,Topic,Supporting_Text
2025-05-10,Technology,"ou're happy, it means you're happy. If you're happy, it's okay,"
2025-05-10,Technology,"eans you're happy. If you're happy, it's okay, Youkou. Youkou! "
2025-05-10,Technology,"distance bus. Youkou! You're happy. Look at this. If you drive,"
2025-05-10,Technology," are like this. This is what happens when you kiss a woman.
Whe"
2025-05-10,Technology,"ow, you said you can't be so happy all of a sudden. It's okay. "
2025-05-10,Technology," my big baby. Mom, big baby. Happy Mother's Day. You're my chil"
2025-05-10,Technology,'re my child. You're my mom. Happy Mother's Day. When I was in 
2025-05-10,Technology, do plastic surgery. Then it happened that he got plastic surge
2025-05-10,Technology," that if something like this happened in our family, I would de"
2025-05-10,Technology,"e from a disaster I'm pretty happy, aren't you?
Now turn right "
2025-05-10,Technology,ating shrimp paste is a very happy thing. Because it's very low
2025-05-09,Work,"le state, so that I can go to work, or have a good life. The lon"
2025-05-09,Personal,"od life. The longer I stay at home, the less problems I have. Ma"
2025-05-09,Personal,"an go to work, or have a good life. The longer I stay at home, t"
2025-05-09,Technology,"wall. I think I will be very happy after climbing the wall.
It "
2025-05-03,Work,"o sometimes, maybe during the meeting, I will turn it on.
Yeah, you"
2025-05-03,Work,"pond, right?
When you're in a meeting, working with people, you wan"
2025-05-03,Work,son told me about during this meeting something like that that's th
2025-05-03,Work,"l, I feel like when you go to work, for example, it's just so we"
2025-05-03,Work,"ht?
When you're in a meeting, working with people, you want to s"
2025-05-03,Work,"ecause he is so busy with his work, he doesn't even know which c"
2025-05-03,Work,it but it didn't turns out to work like I didn't get it back wha
2025-05-03,Work,g. He needs to do his own homework back then. But it just took m
2025-05-03,Work,n the wrong way basically the workers like helping me move insta
2025-05-03,Work,"like, oh, now I need to go to work, but he didn't have to becaus"
2025-05-03,Work,other it's just didn't end up working but still it's a good memo
2025-05-03,Work,"you feel like you can make it work with him no no I try so.
much"
2025-05-03,Work,"to sometimes, It just doesn't work out. Yeah. It's not perfect, "
2025-05-03,Work,"Yeah, this thing. It's out of work, I guess. Yeah, without that,"
2025-05-03,Work,"nk I could be able to make it work.
Yeah, it's too tight. It's t"
2025-05-03,Work,"e you spend on each different task. But ideally, you want to tur"
2025-05-03,Social,"ation. For example, one of my friends was saying, you can try to a"
2025-05-03,Social,"like, remember when the other friend living with you? Oh, Gina. Gi"
2025-05-03,Social,"at much for example.
my ex-boyfriend in the beginning he was cheri"
2025-05-03,Social,me for me to be with my ex-boyfriend he was telling me he thinks w
2025-05-03,Social,'s the meaning of having a boyfriend like he because I feel like f
2025-05-03,Social,"eball, everything, having new friends. Can I just park it here? Ye"
2025-05-03,Social,"ant to go for a long walk and chat about, you know, our relation"
2025-05-03,Personal," learning a watching video at home, like for example, watching, "
2025-05-03,Personal,cking. He needs to do his own homework back then. But it just to
2025-05-03,Personal,"lled.
him. Then he come to my home directly to check me if I was"
2025-05-03,Personal,"e it was the best time of his life, with me but then he just got"
2025-05-03,Personal,"and chat about, you know, our relationship?
Then I'm sure he will say ye"
2025-05-03,Personal,ul time I think that's a full relationship already it doesn't have to sa
2025-05-03,Personal,"ey, I think this just not all relationships will ends up to be.
It's jus"
2025-05-03,Personal,"ke, oh, so did you have a bad relationship starting from 2019? She knew?"
2025-05-03,Personal," to learn something from this relationship. After I broke up, I started "
2025-05-03,Personal,ne is like a model. It's just interesting idea. Some people are havi
2025-05-03,Personal,"eryone should.
have their own interests but that time it makes me re"
2025-05-03,Personal,"nd I was like, wow, that's so interesting. So maybe it's just like i"
2025-05-03,Personal,"ed to develop a lot of my own interests. For example, I bought a car"
2025-05-03,Health,"w it's better.
for the mental health for example if if you want to"
2025-05-03,Health,"ght, just finish the, day and sleep in my apartment. Because then"
2025-05-03,Health,ecause then you don't need to sleep in my apartment. your own apa
2025-05-03,Health,"ly bad, and then fall back to sleep after I called.
him. Then he "
2025-05-03,Health," bad. But on the bed, I fell asleep again. I really want him to s"
2025-05-03,Technology," You wish? Yeah. That kind of technology.
But, like, when I do t"
2025-05-03,Technology,I want you to just write me a software or something like that I know
2025-05-03,Technology,"pend like, hours playing your computer games can you just like take "
2025-05-03,Technology,"very kind person yeah i'm so happy for you, you'll find the one"
2025-05-03,Technology, i'm your mom you will be so happy because every time when my l
2025-05-03,Technology,s the worst thing that could happen for example if I tell Toby 
2025-05-03,Technology, explicitly I want to it's an app it could be a website whateve
2025-05-03,Technology,e time you know I think this happens in the later stage where i
2025-05-03,Technology,". Maybe. I think so. What is happening? Oh. Hm? Oh, shit. Why? "
2025-05-03,Technology,"
Okay, it's a recording device. You have to charge it? No, i"
2025-05-03,Technology,today it might also be a good device and so there are also like ot
2025-05-03,Technology, so there are also like other devices thinking about having you kn
2025-05-03,Technology,u guys whatever the recording device told us. I was on P3 and then
