Date,Mood,Intensity,Supporting_Text
2025-05-04,Neutral,0.5," this. Mexican food. Mexican, okay.
Who's next? Are we done? We'"
2025-05-04,Neutral,0.5,"ext? Are we done? We're done. Okay, then we can start. Who's nex"
2025-05-04,Neutral,0.5,"d it. You're going to add it.
Okay, let's start.
Okay, oh shoot."
2025-05-04,Neutral,0.5,"to add it.
Okay, let's start.
Okay, oh shoot.
Why didn't we star"
2025-05-04,Neutral,0.5,"ne, ten.
Then don't press it. Okay, then I'll go first. You guys"
2025-05-04,Neutral,0.5,". Yes. And then? Number nine.
Okay. How many cups did she drink?"
2025-05-04,Neutral,0.5," She won the game. Let's eat. Okay, let's go now. Do we still ne"
2025-05-04,Neutral,0.5,"? We can buy it together.
Oh, okay. Do you have anything that yo"
2025-05-04,Neutral,0.5, you can eat it. I think it's okay. But he said it's a grilled f
2025-05-04,Neutral,0.5,"e on.
Sometimes you have to define yourself. For example, I ofte"
2025-05-04,Neutral,0.5,"an?
Your ring is pretty. It's fine. I can't believe it's all gon"
2025-05-04,Neutral,0.5, all western food. Hot pot is fine. Which hot pot do you want to
2025-05-04,Neutral,0.5,Of course it's me. I'm just a normal person. She doesn't have a na
2025-05-10,Happy,0.5,"it that other people can be unhappy all the time?
And then I alwa"
2025-05-10,Happy,0.5," think about why others are unhappy, this is not right. I just ha"
2025-05-10,Happy,0.8,"see that? Youkou! I saw that. Happy. Youkou! If you're happy, it "
2025-05-10,Happy,0.7,"hat. Happy. Youkou! If you're happy, it means you're happy. If yo"
2025-05-10,Happy,0.5,"you're happy, it means you're happy. If you're happy, it's okay, "
2025-05-10,Happy,0.7,"means you're happy. If you're happy, it's okay, Youkou. Youkou! M"
2025-05-10,Happy,0.7,"-distance bus. Youkou! You're happy. Look at this. If you drive, "
2025-05-10,Happy,0.5,"now, you said you can't be so happy all of a sudden. It's okay. T"
2025-05-10,Happy,0.5,", my big baby. Mom, big baby. Happy Mother's Day. You're my child"
2025-05-10,Happy,0.5,u're my child. You're my mom. Happy Mother's Day. When I was in m
2025-05-10,Happy,0.5,"me from a disaster I'm pretty happy, aren't you?
Now turn right o"
2025-05-10,Happy,0.7,eating shrimp paste is a very happy thing. Because it's very low 
2025-05-10,Sad,0.7,"ecause of the bees it's a bit sad. I'm still, very busy. I thou"
2025-05-10,Sad,0.7,"r helping others, I feel very sad. There is such a thing. I als"
2025-05-10,Sad,0.5,"got home, because I just went downstairs to get the transcript. "
2025-05-10,Sad,0.7," it. How did you fall? I fell down. It was very low, not very hi"
2025-05-10,Sad,0.7," low, not very high. You fell down? It was okay. It wasn't that "
2025-05-10,Sad,0.5,"the boss. But when others are down, when my friends are down, I'"
2025-05-10,Sad,0.5,"are down, when my friends are down, I'm always worried about the"
2025-05-10,Sad,0.5,"going to Jiangsu. Honey, slow down. Drink some water. Where is W"
2025-05-10,Sad,0.5,"ty guard won't let you in. Go down and get it. Okay, I got it. G"
2025-05-10,Sad,0.5,"e, right? Honey, when you get down to get the wine, you must wea"
2025-05-10,Sad,0.5,me air for me. Let's go. Slow down. You're going to fall. You're
2025-05-10,Sad,0.5,"he moon is in the starry sky. Down deep.
Shut up.
Head west on N"
2025-05-10,Sad,0.5,is is not that old shop. It's downstairs. I can't walk straight.
2025-05-10,Sad,0.5,w one underneath? Then I went down. I felt that I was a little c
2025-05-10,Sad,0.5,"s it that other people can be unhappy all the time?
And then I alwa"
2025-05-10,Sad,0.5,"to think about why others are unhappy, this is not right. I just ha"
2025-05-10,Anxious,0.5,"ou see, in my dream, I was so anxious. I even saved her twice. In m"
2025-05-10,Anxious,0.5,our girl? Your girl is always worried about her friends. I don't th
2025-05-10,Anxious,0.5," friends are down, I'm always worried about them. So you want me to"
2025-05-10,Neutral,0.5,"
Okay, now, I woke up this morning "
2025-05-10,Neutral,0.5,"ughts, and then I don't care. Okay, I'm going home now, I just g"
2025-05-10,Neutral,0.5,".
I'm listening to music now. Okay, she's here.
It's hard to wor"
2025-05-10,Neutral,0.5, you. You can eat first. It's okay. You don't have to worry abou
2025-05-10,Neutral,0.5,e all go to Vancouver to eat. Okay. Let me think about it. What 
2025-05-10,Neutral,0.5,to invite us. Thank you. It's okay. I'll just ask you again. The
2025-05-10,Neutral,0.7,"don't have to think about it. Okay, okay. Bye bye.
Hey, Youkou! "
2025-05-10,Neutral,0.7,"have to think about it. Okay, okay. Bye bye.
Hey, Youkou! She cl"
2025-05-10,Neutral,0.7," happy. If you're happy, it's okay, Youkou. Youkou! My dad, just"
2025-05-10,Neutral,0.5,"ly old. Right? Play with you.
Okay. I like the way you play with"
2025-05-10,Neutral,0.5,ow. Maybe these two days it's okay to change my mind. I always f
2025-05-10,Neutral,0.5,o happy all of a sudden. It's okay. There's no such thing as... 
2025-05-10,Neutral,0.5,"eal. It's almost enough. It's okay to think about it. Yes, you c"
2025-05-10,Neutral,0.5," does she?
Yes. Explain. It's okay. You just need to know that I"
2025-05-10,Neutral,0.5,y high. You fell down? It was okay. It wasn't that high. It was 
2025-05-10,Neutral,0.5,"m. Tell me when you get home. Okay. Okay, my big baby. Mom, big "
2025-05-10,Neutral,0.5,"l me when you get home. Okay. Okay, my big baby. Mom, big baby. "
2025-05-10,Neutral,0.5,"d the cats. They can run. Oh, okay, go ahead. You go ahead, I'll"
2025-05-10,Neutral,0.5, parents. And then maybe it's okay to do it with siblings. You c
2025-05-10,Neutral,0.5,"t you in. Go down and get it. Okay, I got it. Get the wine, righ"
2025-05-10,Neutral,0.6,"
Go. The wine is quite heavy, okay? Let's go. We haven't finishe"
2025-05-10,Neutral,0.5,off. I'm going to the toilet. Okay. Then we'll leave first. Is t
2025-05-10,Neutral,0.5,f diamonds is super suitable. Okay. Don't you think it hurts? It
2025-05-10,Neutral,0.5,n't know how to go to school. Okay. Can I get the money? Give it
2025-05-10,Neutral,0.5," eat it at night. I'm hungry.
Okay, y'all sit next to you, okay?"
2025-05-10,Neutral,0.5,"
Okay, y'all sit next to you, okay? What are you doing? That was"
2025-05-10,Neutral,0.5,". Do you want me to hear you? Okay, y'all sit next to you, okay?"
2025-05-10,Neutral,0.5," Okay, y'all sit next to you, okay?
Thank you.
What's wrong, Yok"
2025-05-10,Neutral,0.5,"ou do it online already? Yes. Okay. Thank you.
In 500 feet, turn"
2025-05-10,Neutral,0.5,"n't want to cheat.
Thank you.
Okay.
Okay, I'll walk there now.
5"
2025-05-10,Neutral,0.5,"nt to cheat.
Thank you.
Okay.
Okay, I'll walk there now.
5 minut"
2025-05-10,Neutral,0.5,". How long do I have to wait? Okay, I'll walk there now. How lon"
2025-05-10,Neutral,0.5,ji. I don't want to eat that. Okay. It's so hot. It must be to s
2025-05-10,Neutral,0.5," tell you. It's hot. Oh, it's okay. This is a fancy design I did"
2025-05-10,Neutral,0.5,"to Yi Ma, I'll be able to go. Okay. It's a new product. It's cal"
2025-05-10,Neutral,0.5,"o Pai Shi Jia. Shrimp Sahuar, okay. You guys like this, don't yo"
2025-05-10,Neutral,0.5,"e small one. I want this one.
Okay. Which one is the best? I ord"
2025-05-10,Neutral,0.5,"n let's stop practicing. It's okay, just put it in there. Then y"
2025-05-10,Neutral,0.5,"? Then we don't want it. It's okay, we'll order one each. Are yo"
2025-05-10,Neutral,0.5,"d change to another one. It's okay, let's order more. Then we'll"
2025-05-10,Neutral,0.5,"ou want to choose squid? It's okay, just order. Then I'll give i"
2025-05-10,Neutral,0.5,"r you. You like to eat squid.
Okay. You can order if you want to"
2025-05-10,Neutral,0.5,"o, I'm going to go with that. Okay.
Zero, eight, two, one, two, "
2025-05-10,Neutral,0.5,hat do you want to drink? I'm fine. I'm here for my aunt. I just
2025-05-10,Neutral,0.5,want to eat shrimp paste. I'm fine with that. I have a few piece
2025-05-10,Neutral,0.5,"a mother. Yeah, you see, it's normal for old people to like their "
2025-05-10,Frustrated,0.5,"t me go, I'm not leaving. I'm angry.
I don't know what to say.
因为"
2025-05-09,Happy,0.7," wall. I think I will be very happy after climbing the wall.
It w"
2025-05-03,Happy,0.7," very kind person yeah i'm so happy for you, you'll find the one "
2025-05-03,Happy,0.7,f i'm your mom you will be so happy because every time when my lo
2025-05-03,Happy,0.5,w it's not maybe you didn't enjoy that much but at least we can
2025-05-03,Sad,0.7,um yeah and then I got really sad and later he become better fo
2025-05-03,Sad,0.5, each other yeah it's kind of sad I think it's just though why 
2025-05-03,Anxious,0.7,"e like that they're like very anxious about giving love yeah I.
thi"
2025-05-03,Neutral,0.5,"
Okay, it's a recording device. You"
2025-05-03,Neutral,0.5,"place first.
No, no, no, it's okay, it's okay, let's go Yeah, le"
2025-05-03,Neutral,0.5,".
No, no, no, it's okay, it's okay, let's go Yeah, let's go toge"
2025-05-03,Neutral,0.5,"like that, but yeah, But it's okay, Alexia, you can ask us for t"
2025-05-03,Neutral,0.5,"re I need a.
five-star review okay here you go send your address"
2025-05-03,Neutral,0.5,here you go send your address okay okay let's go let's leave it 
2025-05-03,Neutral,0.5,you go send your address okay okay let's go let's leave it toget
2025-05-03,Neutral,0.5,"leave it together with Alexia okay already okay.
Do you live in "
2025-05-03,Neutral,0.5,"ther with Alexia okay already okay.
Do you live in an apartment."
2025-05-03,Neutral,0.5,"d, like, too well, right? So, okay, I can't use, I think. 
fuck,"
2025-05-03,Neutral,0.5,"I kind of feel like, oh, it's okay to say that. 
right? So, ever"
2025-05-03,Neutral,0.5,as basically saying like it's okay like let's just try to not be
2025-05-03,Neutral,0.5,"sometimes it's just like it's okay it's okay sometimes like.
of "
2025-05-03,Neutral,0.5,"it's just like it's okay it's okay sometimes like.
of us are man"
2025-05-03,Neutral,0.5,ght. Yeah. I'm just gonna go. Okay. I'm sure there are lots of p
2025-05-03,Neutral,0.5,"rking, I couldn't think. It's okay. I think I can just do like t"
2025-05-03,Neutral,0.5,m hearing is and it's totally fine two of you guys have differen
2025-05-03,Neutral,0.5,u like to do and it's totally fine two of you guys have differen
2025-05-03,Neutral,0.5,u like to do and it's totally fine two of you guys have differen
2025-05-03,Neutral,0.5,directly to check me if I was fine or if I fainted. I was having
2025-05-03,Neutral,0.5,"t.
I think this one should be fine. It's not. Let me see.
Your d"
2025-05-03,Neutral,0.5,s why i'm saying that i'm not normally like but the thing is like 
2025-05-03,Neutral,0.5,ly like but the thing is like normally when i'm the thing is like 
